;tweetid;emoji;stance;emotion;toxic_multi
37;1442649359481511937;['🤣'];deny;[1, 0, 0, 0, 0, 0, 1, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
38;1446028071044268034;['☀️', '🌬️', '⚛️'];believe;[0, 1, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
39;1426165497977053184;['👆'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
40;1438487334572417025;['🇬🇧', '🇵🇰'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
41;1440951128099860482;['📚'];believe;[0, 0, 0, 1, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
42;1423580943458181127;['🌻', '🌞', '🌍', '🏵️', '🌏', '🌿', '🌺', '🌎', '🌱', '🦋', '❤️', '🌼', '🌳'];believe;[0, 0, 0, 1, 0, 0, 1, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
43;1433589977238151176;['🙌', '🇪🇺'];believe;[0, 0, 0, 0, 0, 0, 0, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
44;1432211149160792068;['👣', '🌱'];believe;[0, 1, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
45;1436441976392585223;['👉', '💥', '📣'];believe;[1, 0, 0, 1, 0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
46;1423357879722016770;['👇'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
47;1423325094177345536;['🌊'];ambiguous;[0, 1, 0, 1, 0, 1, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
48;1456973091532324872;['✊🏾'];believe;[1, 1, 0, 1, 1, 0, 1, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
49;1438912735966810114;['🌿', '📌'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
50;1507436335136747531;['😂'];deny;[0, 0, 0, 1, 0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
51;1438422066903007237;['🌍', '👍', '💚', '🖐'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
52;1428852038595608577;['😁', '💡', '✅'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
53;1431240083177459713;['🌏', '🌍', '🌎'];ambiguous;[0, 1, 0, 0, 1, 0, 1, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
54;1441304125346439169;['🌎', '📢'];believe;[0, 0, 0, 0, 1, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
55;1425118956340142080;['💔', '😔'];believe;[0, 0, 0, 1, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
56;1428235698499473410;['🤝', '🏆', '🚨'];ambiguous;[1, 0, 0, 0, 0, 1, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
57;1422583784977965064;['🤔'];ambiguous;[0, 0, 0, 0, 0, 1, 0, 1, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
58;1428658442533752837;['🌧️'];believe;[0, 1, 0, 0, 1, 0, 1, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
59;1420818877848559616;['🏅'];believe;[0, 1, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
60;1443585914425331722;['🌏', '🌍', '🌎'];believe;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
61;1434576884474335232;['🔥', '🌎', '👉🏽'];ambiguous;[0, 0, 0, 1, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
62;1431351316056473602;['🐻\u200d❄️'];believe;[0, 0, 0, 0, 1, 1, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
63;1441391567550353420;['💚'];believe;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
64;1438089010430234624;['🌍', '🌱'];believe;[0, 1, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
65;1424595134151217154;['🌏', '🌍', '🌎'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
66;1440483443188502532;['👇'];believe;[0, 1, 1, 0, 0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
67;1434805108563484672;['📢'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
68;1423271407543275522;['🌎', '🚨'];believe;[0, 1, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
69;1435568888566231043;['📣'];believe;[0, 0, 0, 0, 0, 0, 0, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
70;1440665957374980104;['🌍', '📢'];believe;[0, 0, 0, 0, 0, 0, 0, 1, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
71;1421685848278372354;['👍'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
72;1562862395407486977;['✈️'];deny;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
73;1431188242100068352;['🇩🇰', '🇨🇷'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
74;1426574867902746627;['🙏', '😢'];believe;[0, 0, 0, 0, 0, 0, 1, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
75;1556065646898810880;['🏆', '🎯'];deny;[0, 0, 0, 0, 0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
76;1441509005784985605;['🎶'];believe;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
77;1434263926699593731;['🌎'];believe;[1, 1, 1, 1, 1, 1, 0, 1, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
78;1436393870049304579;['🌏', '🌍', '🌎'];ambiguous;[0, 0, 0, 1, 0, 0, 0, 1, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
79;1433433053276164102;['😊', '🎉'];believe;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
80;1422127380190072832;['⚠️'];ambiguous;[0, 1, 0, 0, 1, 0, 1, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
81;1438540616502333450;['⚠️'];believe;[0, 1, 0, 1, 0, 0, 1, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
82;1431739661211389958;['🌲', '🏖'];believe;[0, 0, 0, 0, 1, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
83;1440679602326704146;['🇮🇳', '💡', '🌳'];believe;[0, 1, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
84;1427946764586323968;['🌊', '♻️'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
85;1433775885744701445;['🙄'];believe;[0, 0, 0, 1, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
86;1439956020114120705;['👇'];believe;[0, 1, 0, 0, 1, 0, 1, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
87;1422200712440733697;['🐝', '🌱'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
88;1425283331550334978;['🌿', '🌎'];ambiguous;[0, 0, 0, 0, 1, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
89;1428612772040900616;['🌍', '💡'];believe;[1, 0, 0, 1, 0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
90;1577098613234470912;['🎯'];deny;[1, 0, 1, 0, 0, 1, 1, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
91;1433847081311997956;['⚠️'];believe;[1, 0, 1, 1, 0, 1, 1, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
92;1455645952304369666;['🤣', '😂'];deny;[1, 0, 0, 0, 0, 1, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
93;1441328254015586319;['👉'];believe;[1, 0, 0, 0, 0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
94;1428247705860644864;['‼️'];ambiguous;[0, 0, 0, 1, 0, 1, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
95;1424806673609277440;['🖋️', '🎨', '📸'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
96;1428510511860043776;['👏'];ambiguous;[1, 1, 0, 0, 1, 0, 1, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
97;1449774297434791943;['🔥', '🌈'];believe;[0, 0, 0, 0, 1, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
98;1471450366411739140;['🎭'];deny;[1, 0, 1, 0, 0, 1, 1, 1, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
99;1432559980683546626;['☹️'];ambiguous;[0, 0, 0, 1, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
100;1440165628082470926;['♻️'];believe;[0, 0, 0, 0, 0, 0, 0, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
101;1425817803710509057;['🌏', '🌍', '🌎'];believe;[0, 0, 0, 0, 1, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
102;1431338730602868744;['🌏', '❤️', '🌍', '🌎'];ambiguous;[0, 0, 0, 0, 1, 0, 0, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
103;1429067763344097285;['🔆', '🌆', '💡', '🏙️', '🔌'];ambiguous;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
104;1571165486200590339;['🤡'];deny;[0, 0, 0, 0, 0, 1, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
105;1426097783551975424;['❄️'];believe;[0, 0, 0, 0, 0, 0, 0, 1, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
106;1430189569828220937;['👍', '🚀'];ambiguous;[0, 1, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
107;1432363899593101318;['🌏'];ambiguous;[0, 0, 0, 0, 1, 0, 0, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
108;1446558921095798785;['👇'];believe;[0, 0, 0, 0, 0, 1, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
109;1575257114443915264;['🤣'];deny;[1, 0, 1, 0, 0, 1, 1, 0, 0, 1];[1, 0, 1, 1, 0, 0, 0, 0]
110;1425323088997146626;['❤️', '👉', '🔋', '⛅'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
111;1420868129928982532;['👋', '🤨'];ambiguous;[0, 0, 0, 0, 0, 0, 0, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
112;1430976028344610818;['👉', '💚'];ambiguous;[0, 0, 0, 0, 0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
113;1421172210732085250;['🙏🏾', '🇧🇼'];believe;[0, 1, 0, 0, 1, 0, 1, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
114;1430844135150440449;['🌱', '✍️', '📢'];ambiguous;[0, 0, 0, 0, 0, 0, 0, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
115;1574821471100309522;['🔥'];deny;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
116;1420452208286474242;['🎸', '💙', '🌎', '🎹'];believe;[0, 0, 0, 1, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
117;1439049203376955403;['😀'];believe;[0, 0, 0, 0, 0, 0, 0, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
118;1429670997595205635;['🍸'];ambiguous;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
119;1424749893441130497;['🌍', '🌎'];believe;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
120;1495463864955195397;['⚠️', '☠️', '🆘'];deny;[0, 1, 0, 0, 0, 0, 0, 1, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
121;1460223052654923778;['😊'];deny;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
122;1423589075085320192;['🌎'];ambiguous;[0, 0, 0, 1, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
123;1577048313412538368;['🙄'];deny;[0, 0, 0, 1, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
124;1422676094331678720;['🌴', '🌲', '🌳'];ambiguous;[1, 0, 0, 1, 0, 0, 1, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
125;1441563505648230402;['🇩🇰', '🌍'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
126;1426085931300409345;['🔥'];believe;[0, 0, 0, 1, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
127;1427215565106593793;['🗣'];believe;[1, 1, 0, 0, 1, 0, 0, 1, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
128;1428688263502512135;['⏰'];believe;[0, 0, 0, 1, 0, 0, 1, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
129;1421953372505231362;['🚨'];ambiguous;[0, 0, 0, 0, 0, 1, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
130;1420810785761206281;['🏴\U000e0067\U000e0062\U000e0077\U000e006c\U000e0073\U000e007f'];believe;[0, 1, 0, 0, 1, 0, 0, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
131;1554095458552893441;['👇', '😳'];deny;[1, 0, 0, 1, 0, 1, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
132;1425441871766056972;['🌲', '🌎'];believe;[0, 0, 0, 0, 1, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
133;1442794388850159617;['👇'];believe;[1, 0, 0, 0, 0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
134;1422120321465737219;['🗽'];believe;[0, 0, 1, 0, 0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
135;1440676581077180434;['👇', '❤️', '🥰'];believe;[0, 0, 0, 0, 0, 0, 0, 1, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
136;1427971946419867652;['💖', '💪'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
137;1441391786161811458;['🇩🇰', '🇺🇸'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
138;1424656828848349185;['🔥'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
139;1443836244547547157;['📈', '🔚'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
140;1428366525757460497;['🌏', '🙋🏾\u200d♂️', '✅'];ambiguous;[0, 1, 0, 1, 0, 0, 0, 1, 0, 0];[0, 0, 0, 0, 1, 0, 0, 0]
141;1440645224665997317;['🇯🇴'];believe;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
142;1446505922348523525;['❤️', '🤘🏼'];believe;[0, 1, 0, 0, 1, 0, 1, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
143;1433467520846024712;['🌎'];believe;[0, 0, 0, 0, 1, 1, 0, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
144;1422094008344535040;['🏡'];ambiguous;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
145;1442536077743493120;['📅', '🎙'];believe;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
146;1424738602555265031;['🚨'];believe;[0, 0, 0, 0, 0, 0, 0, 1, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
147;1436592894501085185;['😷', '😡', '😢'];believe;[0, 0, 0, 1, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
148;1429737034147667975;['🔴'];believe;[0, 1, 0, 0, 0, 0, 0, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
149;1442549601811107840;['📢'];believe;[0, 0, 0, 0, 1, 0, 0, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
150;1433298933233618946;['🐻', '🛠'];believe;[0, 1, 0, 0, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
151;1426821312249417729;['🌴', '🎄'];ambiguous;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
152;1430180302215864327;['☝️', '🇬🇧'];ambiguous;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
153;1441719892818944006;['💙', '💚'];believe;[0, 1, 0, 0, 0, 0, 0, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
154;1423734280363167745;['👇', '💯'];ambiguous;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
155;1441181568542785547;['🌲', '🦊', '🌎'];believe;[0, 0, 0, 0, 1, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
156;1425106796377739267;['🌍', '😭', '🔥'];believe;[0, 1, 0, 1, 0, 0, 1, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
157;1425484722105421834;['🥜', '☠️', '🆘'];deny;[1, 0, 1, 0, 0, 1, 1, 0, 0, 1];[0, 0, 1, 0, 0, 0, 0, 0]
158;1489185310957346822;['😢'];deny;[1, 0, 1, 0, 0, 1, 1, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
159;1433816430408085507;['💙', '🌊'];believe;[0, 0, 0, 0, 0, 0, 0, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
160;1424747286165344256;['🚍', '😍', '😎'];ambiguous;[0, 0, 0, 0, 1, 0, 1, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
161;1446083383948414982;['✨', '💪', '🎶'];believe;[0, 0, 0, 0, 1, 0, 0, 1, 1, 0];[0, 0, 0, 0, 1, 1, 0, 0]
162;1440004108069609481;['😎', '🤣', '🃏', '👋'];deny;[1, 0, 1, 0, 0, 1, 0, 0, 0, 1];[1, 0, 1, 1, 0, 1, 1, 0]
163;1428307260313378828;['‼️'];ambiguous;[0, 0, 0, 1, 0, 1, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
164;1437288473485094914;['👍'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
165;1434213102124298250;['🌞', '🚘'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
166;1441298734755684354;['♻️'];believe;[1, 0, 0, 1, 0, 0, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
167;1441476828787613697;['💚'];believe;[0, 1, 0, 0, 1, 0, 1, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
168;1441998466910199810;['🌏'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
169;1519675629117059072;['🤣', '😂'];deny;[1, 0, 1, 0, 0, 1, 1, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
170;1422106164054134784;['📢'];ambiguous;[0, 0, 0, 0, 0, 0, 0, 1, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
171;1433722937354428423;['✊🏻', '🌎'];believe;[0, 0, 0, 1, 0, 1, 0, 0, 0, 1];[0, 0, 0, 0, 0, 0, 0, 1]
172;1425546203584942097;['💲', '😐'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
173;1434859481335320578;['👇'];believe;[0, 0, 0, 0, 0, 0, 0, 0, 1, 0];[0, 0, 0, 0, 0, 0, 0, 1]
174;1565060597171240960;['🤔'];deny;[1, 0, 0, 1, 0, 0, 0, 0, 0, 0];[0, 0, 0, 0, 0, 0, 0, 1]
